Municipality,IBGE.Code,IBGE.Code6,State,Region,Koppen,Altitude
Alta Floresta D'Oeste,1100015,110001,RO,Norte,Am,246
Ariquemes,1100023,110002,RO,Norte,Am,166
Cabixi,1100031,110003,RO,Norte,Am,224
Cacoal,1100049,110004,RO,Norte,Am,230
Cerejeiras,1100056,110005,RO,Norte,Am,192
Colorado do Oeste,1100064,110006,RO,Norte,Am,360
Corumbiara,1100072,110007,RO,Norte,Am,267
Costa Marques,1100080,110008,RO,Norte,Am,190
Espigão D'Oeste,1100098,110009,RO,Norte,Am,297
Guajará-Mirim,1100106,110010,RO,Norte,Am,198
Jaru,1100114,110011,RO,Norte,Am,210
Ji-Paraná,1100122,110012,RO,Norte,Am,194
Machadinho D'Oeste,1100130,110013,RO,Norte,Am,137
Nova Brasilândia D'Oeste,1100148,110014,RO,Norte,Am,249
Ouro Preto do Oeste,1100155,110015,RO,Norte,Am,220
Pimenta Bueno,1100189,110018,RO,Norte,Am,286
Porto Velho,1100205,110020,RO,Norte,Am,120
Presidente Médici,1100254,110025,RO,Norte,Am,211
Rio Crespo,1100262,110026,RO,Norte,Am,153
Rolim de Moura,1100288,110028,RO,Norte,Am,242
Santa Luzia D'Oeste,1100296,110029,RO,Norte,Am,342
Vilhena,1100304,110030,RO,Norte,Am,409
São Miguel do Guaporé,1100320,110032,RO,Norte,Am,237
Nova Mamoré,1100338,110033,RO,Norte,Am,205
Alvorada D'Oeste,1100346,110034,RO,Norte,Am,249
Alto Alegre dos Parecis,1100379,110037,RO,Norte,Am,255
Alto Paraíso,1100403,110040,RO,Norte,Am,135
Buritis,1100452,110045,RO,Norte,Am,170
Novo Horizonte do Oeste,1100502,110050,RO,Norte,Am,253
Cacaulândia,1100601,110060,RO,Norte,Am,192
Campo Novo de Rondônia,1100700,110070,RO,Norte,Am,249
Candeias do Jamari,1100809,110080,RO,Norte,Am,103
Castanheiras,1100908,110090,RO,Norte,Am,201
Chupinguaia,1100924,110092,RO,Norte,Am,330
Cujubim,1100940,110094,RO,Norte,Am,129
Governador Jorge Teixeira,1101005,110100,RO,Norte,Am,279
Itapuã do Oeste,1101104,110110,RO,Norte,Am,116
Ministro Andreazza,1101203,110120,RO,Norte,Am,305
Mirante da Serra,1101302,110130,RO,Norte,Am,272
Monte Negro,1101401,110140,RO,Norte,Am,201
Nova União,1101435,110143,RO,Norte,Am,277
Parecis,1101450,110145,RO,Norte,Am,329
Pimenteiras do Oeste,1101468,110146,RO,Norte,Am,186
Primavera de Rondônia,1101476,110147,RO,Norte,Am,234
São Felipe D'Oeste,1101484,110148,RO,Norte,Am,251
São Francisco do Guaporé,1101492,110149,RO,Norte,Am,173
Seringueiras,1101500,110150,RO,Norte,Am,211
Teixeirópolis,1101559,110155,RO,Norte,Am,219
Theobroma,1101609,110160,RO,Norte,Am,178
Urupá,1101708,110170,RO,Norte,Am,223
Vale do Anari,1101757,110175,RO,Norte,Am,159
Vale do Paraíso,1101807,110180,RO,Norte,Am,183
Acrelândia,1200013,120001,AC,Norte,Am,165
Assis Brasil,1200054,120005,AC,Norte,Af,305
Brasiléia,1200104,120010,AC,Norte,Af,274
Bujari,1200138,120013,AC,Norte,Am,190
Capixaba,1200179,120017,AC,Norte,Am,197
Cruzeiro do Sul,1200203,120020,AC,Norte,Af,226
Epitaciolândia,1200252,120025,AC,Norte,Am,244
Feijó,1200302,120030,AC,Norte,Af,251
Jordão,1200328,120032,AC,Norte,Af,330
Mâncio Lima,1200336,120033,AC,Norte,Af,258
Manoel Urbano,1200344,120034,AC,Norte,Af,234
Marechal Thaumaturgo,1200351,120035,AC,Norte,Af,282
Plácido de Castro,1200385,120038,AC,Norte,Am,180
Porto Walter,1200393,120039,AC,Norte,Af,244
Rio Branco,1200401,120040,AC,Norte,Am,209
Rodrigues Alves,1200427,120042,AC,Norte,Af,251
Santa Rosa do Purus,1200435,120043,AC,Norte,Af,252
Senador Guiomard,1200450,120045,AC,Norte,Am,177
Sena Madureira,1200500,120050,AC,Norte,Am,232
Tarauacá,1200609,120060,AC,Norte,Af,253
Xapuri,1200708,120070,AC,Norte,Am,228
Porto Acre,1200807,120080,AC,Norte,Am,173
Alvarães,1300029,130002,AM,Norte,Af,79
Amaturá,1300060,130006,AM,Norte,Af,84
Anamã,1300086,130008,AM,Norte,Af,41
Anori,1300102,130010,AM,Norte,Af,35
Apuí,1300144,130014,AM,Norte,Am,155
Atalaia do Norte,1300201,130020,AM,Norte,Af,157
Autazes,1300300,130030,AM,Norte,Af,31
Barcelos,1300409,130040,AM,Norte,Af,92
Barreirinha,1300508,130050,AM,Norte,Af,35
Benjamin Constant,1300607,130060,AM,Norte,Af,140
Beruri,1300631,130063,AM,Norte,Af,47
Boa Vista do Ramos,1300680,130068,AM,Norte,Af,27
Boca do Acre,1300706,130070,AM,Norte,Am,171
Borba,1300805,130080,AM,Norte,Af,61
Caapiranga,1300839,130083,AM,Norte,Af,48
Canutama,1300904,130090,AM,Norte,Am,83
Carauari,1301001,130100,AM,Norte,Af,109
Careiro,1301100,130110,AM,Norte,Af,35
Careiro da Várzea,1301159,130115,AM,Norte,Af,23
Coari,1301209,130120,AM,Norte,Af,68
Codajás,1301308,130130,AM,Norte,Af,48
Eirunepé,1301407,130140,AM,Norte,Af,176
Envira,1301506,130150,AM,Norte,Af,184
Fonte Boa,1301605,130160,AM,Norte,Af,61
Guajará,1301654,130165,AM,Norte,Af,211
Humaitá,1301704,130170,AM,Norte,Am,72
Ipixuna,1301803,130180,AM,Norte,Af,191
Iranduba,1301852,130185,AM,Norte,Af,46
Itacoatiara,1301902,130190,AM,Norte,Af,36
Itamarati,1301951,130195,AM,Norte,Af,139
Itapiranga,1302009,130200,AM,Norte,Af,81
Japurá,1302108,130210,AM,Norte,Af,108
Juruá,1302207,130220,AM,Norte,Af,78
Jutaí,1302306,130230,AM,Norte,Af,124
Lábrea,1302405,130240,AM,Norte,Am,123
Manacapuru,1302504,130250,AM,Norte,Af,34
Manaquiri,1302553,130255,AM,Norte,Af,35
Manaus,1302603,130260,AM,Norte,Af,67
Manicoré,1302702,130270,AM,Norte,Am,72
Maraã,1302801,130280,AM,Norte,Af,51
Maués,1302900,130290,AM,Norte,Af,101
Nhamundá,1303007,130300,AM,Norte,Af,105
Nova Olinda do Norte,1303106,130310,AM,Norte,Af,38
Novo Airão,1303205,130320,AM,Norte,Af,58
Novo Aripuanã,1303304,130330,AM,Norte,Am,88
Parintins,1303403,130340,AM,Norte,Af,25
Pauini,1303502,130350,AM,Norte,Af,162
Presidente Figueiredo,1303536,130353,AM,Norte,Af,98
Rio Preto da Eva,1303569,130356,AM,Norte,Af,93
Santa Isabel do Rio Negro,1303601,130360,AM,Norte,Af,124
Santo Antônio do Içá,1303700,130370,AM,Norte,Af,95
São Gabriel da Cachoeira,1303809,130380,AM,Norte,Af,117
São Paulo de Olivença,1303908,130390,AM,Norte,Af,127
São Sebastião do Uatumã,1303957,130395,AM,Norte,Af,94
Silves,1304005,130400,AM,Norte,Af,61
Tabatinga,1304062,130406,AM,Norte,Af,97
Tapauá,1304104,130410,AM,Norte,Af,86
Tefé,1304203,130420,AM,Norte,Af,86
Tonantins,1304237,130423,AM,Norte,Af,88
Uarini,1304260,130426,AM,Norte,Af,71
Urucará,1304302,130430,AM,Norte,Af,132
Urucurituba,1304401,130440,AM,Norte,Af,13
Amajari,1400027,140002,RR,Norte,Am,397
Alto Alegre,1400050,140005,RR,Norte,Am,446
Boa Vista,1400100,140010,RR,Norte,Am,88
Bonfim,1400159,140015,RR,Norte,Am,126
Cantá,1400175,140017,RR,Norte,Am,147
Caracaraí,1400209,140020,RR,Norte,Af,108
Caroebe,1400233,140023,RR,Norte,Af,219
Iracema,1400282,140028,RR,Norte,Am,313
Mucajaí,1400308,140030,RR,Norte,Am,218
Normandia,1400407,140040,RR,Norte,Am,179
Pacaraima,1400456,140045,RR,Norte,Am,350
Rorainópolis,1400472,140047,RR,Norte,Af,64
São João da Baliza,1400506,140050,RR,Norte,Af,147
São Luiz,1400605,140060,RR,Norte,Af,122
Uiramutã,1400704,140070,RR,Norte,Am,760
Abaetetuba,1500107,150010,PA,Norte,Af,13
Abel Figueiredo,1500131,150013,PA,Norte,Aw,212
Acará,1500206,150020,PA,Norte,Af,35
Afuá,1500305,150030,PA,Norte,Am,12
Água Azul do Norte,1500347,150034,PA,Norte,Am,314
Alenquer,1500404,150040,PA,Norte,Am,316
Almeirim,1500503,150050,PA,Norte,Am,271
Altamira,1500602,150060,PA,Norte,Am,266
Anajás,1500701,150070,PA,Norte,Am,20
Ananindeua,1500800,150080,PA,Norte,Af,16
Anapu,1500859,150085,PA,Norte,Am,145
Augusto Corrêa,1500909,150090,PA,Norte,Am,26
Aurora do Pará,1500958,150095,PA,Norte,Am,48
Aveiro,1501006,150100,PA,Norte,Af,98
Bagre,1501105,150110,PA,Norte,Af,31
Baião,1501204,150120,PA,Norte,Am,41
Bannach,1501253,150125,PA,Norte,Am,421
Barcarena,1501303,150130,PA,Norte,Af,14
Belém,1501402,150140,PA,Norte,Am,8
Belterra,1501451,150145,PA,Norte,Am,130
Benevides,1501501,150150,PA,Norte,Af,25
Bom Jesus do Tocantins,1501576,150157,PA,Norte,Aw,155
Bonito,1501600,150160,PA,Norte,Am,54
Bragança,1501709,150170,PA,Norte,Am,39
Brasil Novo,1501725,150172,PA,Norte,Am,162
Brejo Grande do Araguaia,1501758,150175,PA,Norte,Aw,171
Breu Branco,1501782,150178,PA,Norte,Am,80
Breves,1501808,150180,PA,Norte,Af,19
Bujaru,1501907,150190,PA,Norte,Af,31
Cachoeira do Piriá,1501956,150195,PA,Norte,Am,53
Cachoeira do Arari,1502004,150200,PA,Norte,Am,6
Cametá,1502103,150210,PA,Norte,Af,14
Canaã dos Carajás,1502152,150215,PA,Norte,Am,356
Capanema,1502202,150220,PA,Norte,Am,34
Capitão Poço,1502301,150230,PA,Norte,Am,74
Castanhal,1502400,150240,PA,Norte,Am,39
Chaves,1502509,150250,PA,Norte,Am,8
Colares,1502608,150260,PA,Norte,Am,7
Conceição do Araguaia,1502707,150270,PA,Norte,Aw,200
Concórdia do Pará,1502756,150275,PA,Norte,Af,41
Cumaru do Norte,1502764,150276,PA,Norte,Am,357
Curionópolis,1502772,150277,PA,Norte,Am,255
Curralinho,1502806,150280,PA,Norte,Af,18
Curuá,1502855,150285,PA,Norte,Am,19
Curuçá,1502905,150290,PA,Norte,Am,21
Dom Eliseu,1502939,150293,PA,Norte,Aw,203
Eldorado dos Carajás,1502954,150295,PA,Norte,Am,152
Faro,1503002,150300,PA,Norte,Af,131
Floresta do Araguaia,1503044,150304,PA,Norte,Aw,189
Garrafão do Norte,1503077,150307,PA,Norte,Am,82
Goianésia do Pará,1503093,150309,PA,Norte,Am,109
Gurupá,1503101,150310,PA,Norte,Am,19
Igarapé-Açu,1503200,150320,PA,Norte,Am,39
Igarapé-Miri,1503309,150330,PA,Norte,Af,15
Inhangapi,1503408,150340,PA,Norte,Am,23
Ipixuna do Pará,1503457,150345,PA,Norte,Am,69
Irituia,1503507,150350,PA,Norte,Am,38
Itaituba,1503606,150360,PA,Norte,Am,203
Itupiranga,1503705,150370,PA,Norte,Am,159
Jacareacanga,1503754,150375,PA,Norte,Am,218
Jacundá,1503804,150380,PA,Norte,Am,104
Juruti,1503903,150390,PA,Norte,Am,62
Limoeiro do Ajuru,1504000,150400,PA,Norte,Af,11
Mãe do Rio,1504059,150405,PA,Norte,Am,48
Magalhães Barata,1504109,150410,PA,Norte,Am,24
Marabá,1504208,150420,PA,Norte,Am,203
Maracanã,1504307,150430,PA,Norte,Am,21
Marapanim,1504406,150440,PA,Norte,Am,23
Marituba,1504422,150442,PA,Norte,Af,19
Medicilândia,1504455,150445,PA,Norte,Am,166
Melgaço,1504505,150450,PA,Norte,Af,25
Mocajuba,1504604,150460,PA,Norte,Af,22
Moju,1504703,150470,PA,Norte,Af,45
Monte Alegre,1504802,150480,PA,Norte,Am,266
Muaná,1504901,150490,PA,Norte,Af,11
Nova Esperança do Piriá,1504950,150495,PA,Norte,Am,97
Nova Ipixuna,1504976,150497,PA,Norte,Aw,107
Nova Timboteua,1505007,150500,PA,Norte,Am,35
Novo Progresso,1505031,150503,PA,Norte,Am,337
Novo Repartimento,1505064,150506,PA,Norte,Am,154
Óbidos,1505106,150510,PA,Norte,Am,260
Oeiras do Pará,1505205,150520,PA,Norte,Af,24
Oriximiná,1505304,150530,PA,Norte,Af,231
Ourém,1505403,150540,PA,Norte,Am,57
Ourilândia do Norte,1505437,150543,PA,Norte,Am,362
Pacajá,1505486,150548,PA,Norte,Am,115
Palestina do Pará,1505494,150549,PA,Norte,Aw,160
Paragominas,1505502,150550,PA,Norte,Am,116
Parauapebas,1505536,150553,PA,Norte,Am,342
Pau D'Arco,1505551,150555,PA,Norte,Am,265
Peixe-Boi,1505601,150560,PA,Norte,Am,30
Piçarra,1505635,150563,PA,Norte,Aw,179
Placas,1505650,150565,PA,Norte,Af,201
Ponta de Pedras,1505700,150570,PA,Norte,Am,7
Portel,1505809,150580,PA,Norte,Af,53
Porto de Moz,1505908,150590,PA,Norte,Am,55
Prainha,1506005,150600,PA,Norte,Am,102
Primavera,1506104,150610,PA,Norte,Am,27
Quatipuru,1506112,150611,PA,Norte,Am,13
Redenção,1506138,150613,PA,Norte,Am,252
Rio Maria,1506161,150616,PA,Norte,Am,240
Rondon do Pará,1506187,150618,PA,Norte,Aw,203
Rurópolis,1506195,150619,PA,Norte,Af,191
Salinópolis,1506203,150620,PA,Norte,Am,17
Salvaterra,1506302,150630,PA,Norte,Am,7
Santa Bárbara do Pará,1506351,150635,PA,Norte,Am,23
Santa Cruz do Arari,1506401,150640,PA,Norte,Am,5
Santa Isabel do Pará,1506500,150650,PA,Norte,Am,29
Santa Luzia do Pará,1506559,150655,PA,Norte,Am,61
Santa Maria das Barreiras,1506583,150658,PA,Norte,Aw,234
Santa Maria do Pará,1506609,150660,PA,Norte,Am,42
Santana do Araguaia,1506708,150670,PA,Norte,Aw,238
Santarém,1506807,150680,PA,Norte,Am,81
Santarém Novo,1506906,150690,PA,Norte,Am,29
Santo Antônio do Tauá,1507003,150700,PA,Norte,Am,24
São Caetano de Odivelas,1507102,150710,PA,Norte,Am,15
São Domingos do Araguaia,1507151,150715,PA,Norte,Aw,161
São Domingos do Capim,1507201,150720,PA,Norte,Am,39
São Félix do Xingu,1507300,150730,PA,Norte,Am,288
São Francisco do Pará,1507409,150740,PA,Norte,Am,42
São Geraldo do Araguaia,1507458,150745,PA,Norte,Aw,189
São João da Ponta,1507466,150746,PA,Norte,Am,25
São João de Pirabas,1507474,150747,PA,Norte,Am,20
São João do Araguaia,1507508,150750,PA,Norte,Aw,126
São Miguel do Guamá,1507607,150760,PA,Norte,Am,31
São Sebastião da Boa Vista,1507706,150770,PA,Norte,Af,18
Sapucaia,1507755,150775,PA,Norte,Am,202
Senador José Porfírio,1507805,150780,PA,Norte,Am,169
Soure,1507904,150790,PA,Norte,Am,4
Tailândia,1507953,150795,PA,Norte,Am,60
Terra Alta,1507961,150796,PA,Norte,Am,37
Terra Santa,1507979,150797,PA,Norte,Am,45
Tomé-Açu,1508001,150800,PA,Norte,Af,54
Tracuateua,1508035,150803,PA,Norte,Am,25
Trairão,1508050,150805,PA,Norte,Af,170
Tucumã,1508084,150808,PA,Norte,Am,245
Tucuruí,1508100,150810,PA,Norte,Am,103
Ulianópolis,1508126,150812,PA,Norte,Aw,155
Uruará,1508159,150815,PA,Norte,Af,198
Vigia,1508209,150820,PA,Norte,Am,17
Viseu,1508308,150830,PA,Norte,Am,37
Vitória do Xingu,1508357,150835,PA,Norte,Am,93
Xinguara,1508407,150840,PA,Norte,Am,227
Serra do Navio,1600055,160005,AP,Norte,Am,176
Amapá,1600105,160010,AP,Norte,Am,33
Pedra Branca do Amapari,1600154,160015,AP,Norte,Am,198
Calçoene,1600204,160020,AP,Norte,Am,95
Cutias,1600212,160021,AP,Norte,Am,11
Ferreira Gomes,1600238,160023,AP,Norte,Am,98
Itaubal,1600253,160025,AP,Norte,Am,12
Laranjal do Jari,1600279,160027,AP,Norte,Am,263
Macapá,1600303,160030,AP,Norte,Am,17
Mazagão,1600402,160040,AP,Norte,Am,113
Oiapoque,1600501,160050,AP,Norte,Am,103
Porto Grande,1600535,160053,AP,Norte,Am,109
Pracuúba,1600550,160055,AP,Norte,Am,101
Santana,1600600,160060,AP,Norte,Am,24
Tartarugalzinho,1600709,160070,AP,Norte,Am,61
Vitória do Jari,1600808,160080,AP,Norte,Am,42
Abreulândia,1700251,170025,TO,Norte,Aw,227
Aguiarnópolis,1700301,170030,TO,Norte,Aw,218
Aliança do Tocantins,1700350,170035,TO,Norte,Aw,275
Almas,1700400,170040,TO,Norte,Aw,462
Alvorada,1700707,170070,TO,Norte,Aw,270
Ananás,1701002,170100,TO,Norte,Aw,176
Angico,1701051,170105,TO,Norte,Aw,296
Aparecida do Rio Negro,1701101,170110,TO,Norte,Aw,379
Aragominas,1701309,170130,TO,Norte,Aw,220
Araguacema,1701903,170190,TO,Norte,Aw,195
Araguaçu,1702000,170200,TO,Norte,Aw,269
Araguaína,1702109,170210,TO,Norte,Aw,239
Araguanã,1702158,170215,TO,Norte,Aw,194
Araguatins,1702208,170220,TO,Norte,Aw,152
Arapoema,1702307,170230,TO,Norte,Aw,191
Arraias,1702406,170240,TO,Norte,Aw,484
Augustinópolis,1702554,170255,TO,Norte,Aw,158
Aurora do Tocantins,1702703,170270,TO,Norte,Aw,530
Axixá do Tocantins,1702901,170290,TO,Norte,Aw,233
Babaçulândia,1703008,170300,TO,Norte,Aw,249
Bandeirantes do Tocantins,1703057,170305,TO,Norte,Aw,284
Barra do Ouro,1703073,170307,TO,Norte,Aw,204
Barrolândia,1703107,170310,TO,Norte,Aw,364
Bernardo Sayão,1703206,170320,TO,Norte,Aw,191
Bom Jesus do Tocantins,1703305,170330,TO,Norte,Aw,261
Brasilândia do Tocantins,1703602,170360,TO,Norte,Aw,265
Brejinho de Nazaré,1703701,170370,TO,Norte,Aw,279
Buriti do Tocantins,1703800,170380,TO,Norte,Aw,132
Cachoeirinha,1703826,170382,TO,Norte,Aw,245
Campos Lindos,1703842,170384,TO,Norte,Aw,369
Cariri do Tocantins,1703867,170386,TO,Norte,Aw,282
Carmolândia,1703883,170388,TO,Norte,Aw,241
Carrasco Bonito,1703891,170389,TO,Norte,Aw,128
Caseara,1703909,170390,TO,Norte,Aw,188
Centenário,1704105,170410,TO,Norte,Aw,285
Chapada de Areia,1704600,170460,TO,Norte,Aw,252
Chapada da Natividade,1705102,170510,TO,Norte,Aw,346
Colinas do Tocantins,1705508,170550,TO,Norte,Aw,303
Combinado,1705557,170555,TO,Norte,Aw,522
Conceição do Tocantins,1705607,170560,TO,Norte,Aw,361
Couto Magalhães,1706001,170600,TO,Norte,Aw,193
Cristalândia,1706100,170610,TO,Norte,Aw,245
Crixás do Tocantins,1706258,170625,TO,Norte,Aw,263
Darcinópolis,1706506,170650,TO,Norte,Aw,294
Dianópolis,1707009,170700,TO,Norte,Aw,531
Divinópolis do Tocantins,1707108,170710,TO,Norte,Aw,226
Dois Irmãos do Tocantins,1707207,170720,TO,Norte,Aw,266
Dueré,1707306,170730,TO,Norte,Aw,244
Esperantina,1707405,170740,TO,Norte,Aw,102
Fátima,1707553,170755,TO,Norte,Aw,315
Figueirópolis,1707652,170765,TO,Norte,Aw,261
Filadélfia,1707702,170770,TO,Norte,Aw,218
Formoso do Araguaia,1708205,170820,TO,Norte,Aw,205
Fortaleza do Tabocão,1708254,170825,TO,Norte,Aw,311
Goianorte,1708304,170830,TO,Norte,Aw,248
Goiatins,1709005,170900,TO,Norte,Aw,259
Guaraí,1709302,170930,TO,Norte,Aw,303
Gurupi,1709500,170950,TO,Norte,Aw,284
Ipueiras,1709807,170980,TO,Norte,Aw,289
Itacajá,1710508,171050,TO,Norte,Aw,268
Itaguatins,1710706,171070,TO,Norte,Aw,211
Itapiratins,1710904,171090,TO,Norte,Aw,224
Itaporã do Tocantins,1711100,171110,TO,Norte,Aw,316
Jaú do Tocantins,1711506,171150,TO,Norte,Aw,383
Juarina,1711803,171180,TO,Norte,Aw,185
Lagoa da Confusão,1711902,171190,TO,Norte,Aw,187
Lagoa do Tocantins,1711951,171195,TO,Norte,Aw,329
Lajeado,1712009,171200,TO,Norte,Aw,419
Lavandeira,1712157,171215,TO,Norte,Aw,560
Lizarda,1712405,171240,TO,Norte,Aw,366
Luzinópolis,1712454,171245,TO,Norte,Aw,246
Marianópolis do Tocantins,1712504,171250,TO,Norte,Aw,197
Mateiros,1712702,171270,TO,Norte,Aw,583
Maurilândia do Tocantins,1712801,171280,TO,Norte,Aw,204
Miracema do Tocantins,1713205,171320,TO,Norte,Aw,277
Miranorte,1713304,171330,TO,Norte,Aw,336
Monte do Carmo,1713601,171360,TO,Norte,Aw,404
Monte Santo do Tocantins,1713700,171370,TO,Norte,Aw,285
Palmeiras do Tocantins,1713809,171380,TO,Norte,Aw,249
Muricilândia,1713957,171395,TO,Norte,Aw,191
Natividade,1714203,171420,TO,Norte,Aw,383
Nazaré,1714302,171430,TO,Norte,Aw,265
Nova Olinda,1714880,171488,TO,Norte,Aw,268
Nova Rosalândia,1715002,171500,TO,Norte,Aw,313
Novo Acordo,1715101,171510,TO,Norte,Aw,312
Novo Alegre,1715150,171515,TO,Norte,Aw,584
Novo Jardim,1715259,171525,TO,Norte,Aw,626
Oliveira de Fátima,1715507,171550,TO,Norte,Aw,311
Palmeirante,1715705,171570,TO,Norte,Aw,220
Palmeirópolis,1715754,171575,TO,Norte,Aw,456
Paraíso do Tocantins,1716109,171610,TO,Norte,Aw,333
Paranã,1716208,171620,TO,Norte,Aw,405
Pau D'Arco,1716307,171630,TO,Norte,Aw,212
Pedro Afonso,1716505,171650,TO,Norte,Aw,262
Peixe,1716604,171660,TO,Norte,Aw,271
Pequizeiro,1716653,171665,TO,Norte,Aw,224
Colméia,1716703,171670,TO,Norte,Aw,331
Pindorama do Tocantins,1717008,171700,TO,Norte,Aw,480
Piraquê,1717206,171720,TO,Norte,Aw,199
Pium,1717503,171750,TO,Norte,Aw,192
Ponte Alta do Bom Jesus,1717800,171780,TO,Norte,Aw,505
Ponte Alta do Tocantins,1717909,171790,TO,Norte,Aw,394
Porto Alegre do Tocantins,1718006,171800,TO,Norte,Aw,452
Porto Nacional,1718204,171820,TO,Norte,Aw,303
Praia Norte,1718303,171830,TO,Norte,Aw,154
Presidente Kennedy,1718402,171840,TO,Norte,Aw,283
Pugmil,1718451,171845,TO,Norte,Aw,297
Recursolândia,1718501,171850,TO,Norte,Aw,346
Riachinho,1718550,171855,TO,Norte,Aw,174
Rio da Conceição,1718659,171865,TO,Norte,Aw,631
Rio dos Bois,1718709,171870,TO,Norte,Aw,243
Rio Sono,1718758,171875,TO,Norte,Aw,290
Sampaio,1718808,171880,TO,Norte,Aw,122
Sandolândia,1718840,171884,TO,Norte,Aw,239
Santa Fé do Araguaia,1718865,171886,TO,Norte,Aw,195
Santa Maria do Tocantins,1718881,171888,TO,Norte,Aw,260
Santa Rita do Tocantins,1718899,171889,TO,Norte,Aw,242
Santa Rosa do Tocantins,1718907,171890,TO,Norte,Aw,288
Santa Tereza do Tocantins,1719004,171900,TO,Norte,Aw,333
Santa Terezinha do Tocantins,1720002,172000,TO,Norte,Aw,304
São Bento do Tocantins,1720101,172010,TO,Norte,Aw,210
São Félix do Tocantins,1720150,172015,TO,Norte,Aw,444
São Miguel do Tocantins,1720200,172020,TO,Norte,Aw,162
São Salvador do Tocantins,1720259,172025,TO,Norte,Aw,353
São Sebastião do Tocantins,1720309,172030,TO,Norte,Aw,115
São Valério da Natividade,1720499,172049,TO,Norte,Aw,320
Silvanópolis,1720655,172065,TO,Norte,Aw,338
Sítio Novo do Tocantins,1720804,172080,TO,Norte,Aw,207
Sucupira,1720853,172085,TO,Norte,Aw,274
Taguatinga,1720903,172090,TO,Norte,Aw,478
Taipas do Tocantins,1720937,172093,TO,Norte,Aw,393
Talismã,1720978,172097,TO,Norte,Aw,282
Palmas,1721000,172100,TO,Norte,Aw,410
Tocantínia,1721109,172110,TO,Norte,Aw,316
Tocantinópolis,1721208,172120,TO,Norte,Aw,223
Tupirama,1721257,172125,TO,Norte,Aw,230
Tupiratins,1721307,172130,TO,Norte,Aw,223
Wanderlândia,1722081,172208,TO,Norte,Aw,281
Xambioá,1722107,172210,TO,Norte,Aw,208
Açailândia,2100055,210005,MA,Nordeste,Aw,275
Afonso Cunha,2100105,210010,MA,Nordeste,Aw,105
Água Doce do Maranhão,2100154,210015,MA,Nordeste,As,40
Alcântara,2100204,210020,MA,Nordeste,As,19
Aldeias Altas,2100303,210030,MA,Nordeste,Aw,104
Altamira do Maranhão,2100402,210040,MA,Nordeste,Aw,65
Alto Alegre do Maranhão,2100436,210043,MA,Nordeste,Aw,55
Alto Alegre do Pindaré,2100477,210047,MA,Nordeste,Aw,95
Alto Parnaíba,2100501,210050,MA,Nordeste,Aw,470
Amapá do Maranhão,2100550,210055,MA,Nordeste,Am,45
Amarante do Maranhão,2100600,210060,MA,Nordeste,Aw,272
Anajatuba,2100709,210070,MA,Nordeste,Am,8
Anapurus,2100808,210080,MA,Nordeste,Aw,90
Apicum-Açu,2100832,210083,MA,Nordeste,As,12
Araguanã,2100873,210087,MA,Nordeste,Am,49
Araioses,2100907,210090,MA,Nordeste,As,31
Arame,2100956,210095,MA,Nordeste,Aw,235
Arari,2101004,210100,MA,Nordeste,Am,10
Axixá,2101103,210110,MA,Nordeste,As,24
Bacabal,2101202,210120,MA,Nordeste,Aw,29
Bacabeira,2101251,210125,MA,Nordeste,Aw,11
Bacuri,2101301,210130,MA,Nordeste,As,16
Bacurituba,2101350,210135,MA,Nordeste,As,3
Balsas,2101400,210140,MA,Nordeste,Aw,419
Barão de Grajaú,2101509,210150,MA,Nordeste,Aw,223
Barra do Corda,2101608,210160,MA,Nordeste,Aw,212
Barreirinhas,2101707,210170,MA,Nordeste,As,45
Belágua,2101731,210173,MA,Nordeste,As,85
Bela Vista do Maranhão,2101772,210177,MA,Nordeste,Aw,26
Benedito Leite,2101806,210180,MA,Nordeste,Aw,275
Bequimão,2101905,210190,MA,Nordeste,As,15
Bernardo do Mearim,2101939,210193,MA,Nordeste,Aw,77
Boa Vista do Gurupi,2101970,210197,MA,Nordeste,Am,27
Bom Jardim,2102002,210200,MA,Nordeste,Aw,150
Bom Jesus das Selvas,2102036,210203,MA,Nordeste,Aw,227
Bom Lugar,2102077,210207,MA,Nordeste,Aw,41
Brejo,2102101,210210,MA,Nordeste,Aw,83
Brejo de Areia,2102150,210215,MA,Nordeste,Aw,126
Buriti,2102200,210220,MA,Nordeste,Aw,93
Buriti Bravo,2102309,210230,MA,Nordeste,Aw,198
Buriticupu,2102325,210232,MA,Nordeste,Aw,239
Buritirana,2102358,210235,MA,Nordeste,Aw,260
Cachoeira Grande,2102374,210237,MA,Nordeste,Am,60
Cajapió,2102408,210240,MA,Nordeste,Aw,6
Cajari,2102507,210250,MA,Nordeste,Am,10
Campestre do Maranhão,2102556,210255,MA,Nordeste,Aw,181
Cândido Mendes,2102606,210260,MA,Nordeste,Am,34
Cantanhede,2102705,210270,MA,Nordeste,Aw,47
Capinzal do Norte,2102754,210275,MA,Nordeste,Aw,116
Carolina,2102804,210280,MA,Nordeste,Aw,271
Carutapera,2102903,210290,MA,Nordeste,As,23
Caxias,2103000,210300,MA,Nordeste,Aw,115
Cedral,2103109,210310,MA,Nordeste,As,24
Central do Maranhão,2103125,210312,MA,Nordeste,As,25
Centro do Guilherme,2103158,210315,MA,Nordeste,Am,67
Centro Novo do Maranhão,2103174,210317,MA,Nordeste,Am,112
